issue_key,created
PTL-1950,2022-01-10
PTL-1952,2022-02-08
PTL-1955,2022-04-11
PTL-1962,2022-08-19
PTL-1963,2022-08-22
PTL-1964,2022-10-27
PTL-1965,2022-02-08
PTL-1967,2022-01-10
PTL-1970,2022-01-10
PTL-1972,2022-02-07
PTL-1973,2022-01-10
PTL-1975,2022-01-10
PTL-1985,2022-01-04
PTL-1988,2022-02-07
PTL-1990,2022-01-10
PTL-1992,2022-02-09
PTL-1993,2022-01-10
PTL-1996,2022-01-10
PTL-1999,2022-02-07
PTL-2000,2022-01-10
PTL-2002,2022-02-07
PTL-2003,2022-02-15
PTL-2005,2022-01-04
PTL-2006,2022-01-10
PTL-2007,2022-01-10
PTL-2009,2022-01-04
PTL-2010,2022-12-22
PTL-2012,2022-02-22
PTL-2014,2022-01-31
PTL-2017,2022-01-10
PTL-2018,2022-01-10
PTL-2019,2022-01-31
PTL-2086,2022-07-07
PTL-2091,2022-02-15
PTL-2092,2022-04-29
PTL-2100,2022-06-01
PTL-2101,2022-02-17
PTL-2109,2022-07-07
PTL-2113,2022-07-15
PTL-2121,2022-05-11
PTL-2124,2022-10-24
PTL-2135,2022-02-21
PTL-2137,2022-07-04
PTL-2142,2022-07-12
PTL-2143,2022-02-16
PTL-2144,2022-07-05
PTL-2147,2022-07-07
PTL-2151,2022-02-18
PTL-2156,2022-02-16
PTL-2160,2022-11-10
PTL-2163,2022-11-02
PTL-2167,2022-07-16
PTL-2172,2022-09-15
PTL-2173,2022-02-16
PTL-2233,2022-12-06
PTL-2235,2022-06-10
PTL-2238,2022-09-27
PTL-2244,2022-12-09
PTL-2246,2022-10-03
PTL-2248,2022-12-06
PTL-2251,2022-05-17
PTL-2252,2022-09-06
PTL-2254,2022-12-06
PTL-2260,2022-06-22
PTL-2266,2022-12-06
PTL-2269,2022-12-06
PTL-2271,2022-12-07
PTL-2272,2022-11-09
PTL-2273,2022-11-24
PTL-2274,2022-06-14
PTL-2276,2022-09-29
PTL-2277,2022-08-19
PTL-2279,2022-09-12
PTL-2281,2022-07-20
PTL-2284,2022-12-06
PTL-2285,2022-09-06
PTL-2286,2022-10-03
PTL-2295,2022-12-06
PTL-2301,2022-08-23
PTL-2306,2022-09-06
PTL-2308,2022-08-11
PTL-2309,2022-06-06
PTL-2313,2022-12-06
PTL-2315,2022-06-15
PTL-2316,2022-07-04
PTL-2319,2022-04-28
PTL-2320,2022-10-03
PTL-2324,2022-06-24
PTL-2327,2022-11-17
PTL-2330,2022-10-03
PTL-2331,2022-06-17
PTL-2333,2022-07-18
PTL-2334,2022-05-27
PTL-2337,2022-01-21
PTL-2338,2022-03-28
PTL-2339,2022-12-07
PTL-2340,2022-09-02
PTL-2344,2022-09-20
PTL-2350,2022-12-28
PTL-2351,2022-09-22
PTL-2361,2022-09-20
PTL-2364,2022-12-06
PTL-2366,2022-05-18
PTL-2369,2022-09-14
PTL-2370,2022-09-02
PTL-2374,2022-09-07
PTL-2381,2022-10-03
PTL-2390,2022-09-06
PTL-2396,2022-09-16
PTL-2399,2022-12-09
PTL-2400,2022-09-20
PTL-2405,2022-11-08
PTL-2407,2022-09-06
PTL-2411,2022-10-10
PTL-2420,2022-10-03
